symbol;timeframe;open_time;open_price;high_price;low_price;close_price;volume;close_time;EMA;
BTCUSDT;1h;2017-11-18 16:00:00+00:00;767681000000;769899000000;763203000000;763998000000;16676519500;2017-11-18 16:59:59.999000+00:00;767759385416329,000000000000000;
BTCUSDT;1h;2017-11-18 17:00:00+00:00;763998000000;772489000000;760300000000;769993000000;18000349300;2017-11-18 17:59:59.999000+00:00;7681030184292010,000000000000000;
BTCUSDT;1h;2017-11-18 18:00:00+00:00;769866000000;775700000000;766500000000;773998000000;11618618200;2017-11-18 18:59:59.999000+00:00;7690099386708620,000000000000000;
BTCUSDT;1h;2017-11-18 19:00:00+00:00;773020000000;775896000000;772607000000;772614000000;20069297600;2017-11-18 19:59:59.999000+00:00;7695644096445760,000000000000000;
BTCUSDT;1h;2017-11-18 20:00:00+00:00;772612000000;776000000000;771519000000;774550000000;14262532200;2017-11-18 20:59:59.999000+00:00;7703314235454100,000000000000000;
BTCUSDT;1h;2017-11-18 21:00:00+00:00;774543000000;781999000000;770520000000;781141000000;21305378000;2017-11-18 21:59:59.999000+00:00;7719944353076550,000000000000000;
BTCUSDT;1h;2017-11-18 22:00:00+00:00;781007000000;781500000000;775006000000;779615000000;8922935300;2017-11-18 22:59:59.999000+00:00;7731668298757080,000000000000000;
BTCUSDT;1h;2017-11-18 23:00:00+00:00;777531000000;780015000000;775071000000;776194000000;28261601600;2017-11-18 23:59:59.999000+00:00;7736325483563680,000000000000000;
BTCUSDT;1h;2017-11-19 00:00:00+00:00;776194000000;778374000000;775066000000;777200000000;11265619200;2017-11-19 00:59:59.999000+00:00;7741813870707730,000000000000000;
BTCUSDT;1h;2017-11-19 01:00:00+00:00;777201000000;780499000000;776001000000;780496000000;11655539100;2017-11-19 01:59:59.999000+00:00;7751528659829620,000000000000000;
BTCUSDT;1h;2017-11-19 02:00:00+00:00;780491000000;781893000000;775138000000;776890000000;18140338800;2017-11-19 02:59:59.999000+00:00;77542011737019800,000000000000000;
BTCUSDT;1h;2017-11-19 03:00:00+00:00;776887000000;780498000000;776029000000;777999000000;13809220700;2017-11-19 03:59:59.999000+00:00;7758168685440140,000000000000000;
BTCUSDT;1h;2017-11-19 04:00:00+00:00;777782000000;780894000000;776015000000;776996000000;14492194600;2017-11-19 04:59:59.999000+00:00;7759982733833960,000000000000000;
